City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
386,Nago,26.5881,127.9761,86.85,81,22,10.13,JP,2022-09-14 00:05:25
387,San Vicente,-26.6167,-54.1333,54.23,84,36,3.0,AR,2022-09-14 00:05:26
388,Vodnyy,63.5046,53.4095,43.7,98,99,5.41,RU,2022-09-14 00:05:26
389,Jiwani,25.05,61.7417,80.56,87,12,9.04,PK,2022-09-14 00:05:27
390,Henties Bay,-22.116,14.2845,56.66,92,1,10.45,NA,2022-09-14 00:05:27
391,Kangaatsiaq,68.3065,-53.4641,41.38,97,100,7.65,GL,2022-09-14 00:05:27
392,Comodoro Rivadavia,-45.8667,-67.5,60.66,39,0,13.8,AR,2022-09-14 00:05:28
393,Sangar,63.9242,127.4739,41.99,97,100,7.47,RU,2022-09-14 00:05:28
394,Khash,28.2211,61.2158,71.38,21,2,1.32,IR,2022-09-14 00:05:28
395,Chara,56.9064,118.2631,45.93,65,41,4.59,RU,2022-09-14 00:05:29
396,Weimar,50.9833,11.3167,64.98,87,98,4.05,DE,2022-09-14 00:05:29
397,Yarim,14.298,44.3779,59.41,65,96,4.43,YE,2022-09-14 00:05:30
398,Coihaique,-45.5752,-72.0662,47.01,81,100,9.22,CL,2022-09-14 00:05:30
399,Tasiilaq,65.6145,-37.6368,35.76,87,98,3.31,GL,2022-09-14 00:05:31
400,Huesca,42.1362,-0.4087,66.06,89,75,4.61,ES,2022-09-14 00:05:31
401,Ettaiyapuram,9.1441,77.9907,79.72,68,88,7.65,IN,2022-09-14 00:05:32
402,Tunceli,39.1083,39.5471,62.87,71,33,2.73,TR,2022-09-14 00:05:32
403,Shahr-E Kord,32.3256,50.8644,62.24,17,0,3.71,IR,2022-09-14 00:05:32
404,Guanica,17.9716,-66.908,84.06,81,100,9.04,PR,2022-09-14 00:05:33
405,Kloulklubed,7.0419,134.2556,84.7,68,79,12.1,PW,2022-09-14 00:05:33
406,Naze,28.3667,129.4833,80.8,84,35,19.26,JP,2022-09-14 00:05:33
407,Oranjestad,12.524,-70.027,83.68,79,87,21.65,AW,2022-09-14 00:01:36
