City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Eyl,SO,7.9803,49.8164,83.41,64,98,20.11,overcast clouds
250,Araouane,ML,18.9048,-3.5265,86.81,50,14,4.97,few clouds
251,Koulikoro,ML,14.0,-7.75,71.28,94,93,7.94,overcast clouds
252,Qui Nhon,VN,13.7667,109.2333,83.62,77,93,5.06,overcast clouds
253,Atar,MR,20.5169,-13.0499,88.72,46,100,4.92,overcast clouds
254,Saint-Philippe,RE,-21.3585,55.7679,76.59,72,37,11.1,scattered clouds
255,Pathein,MM,16.7833,94.7333,88.79,63,59,8.23,broken clouds
256,Waddan,LY,29.1614,16.139,75.09,79,7,3.71,clear sky
257,San Patricio,US,28.017,-97.5169,82.29,70,4,4.27,clear sky
258,Camacha,PT,33.0833,-16.3333,69.22,83,40,10.36,scattered clouds
259,Sao Filipe,CV,14.8961,-24.4956,77.63,81,82,11.5,broken clouds
260,Coquimbo,CL,-29.9533,-71.3436,51.53,57,0,8.05,clear sky
261,Port Hardy,CA,50.6996,-127.4199,51.8,87,20,3.44,few clouds
262,Ziro,IN,27.6333,93.8333,57.94,82,67,3.56,broken clouds
263,Hukuntsi,BW,-24.0,21.75,58.6,20,0,10.58,clear sky
264,Sarkand,KZ,45.41,79.9186,76.01,27,99,1.97,overcast clouds
265,Dunedin,NZ,-45.8742,170.5036,50.81,82,9,1.99,clear sky
266,Ladario,BR,-19.0047,-57.6017,73.06,79,49,5.06,scattered clouds
267,Soubre,CI,5.7856,-6.6083,69.17,99,87,1.83,overcast clouds
268,Lompoc,US,34.6391,-120.4579,62.6,93,0,10.36,clear sky
269,Ruthin,GB,53.1137,-3.3178,55.26,91,100,6.46,overcast clouds
270,Krasnoselkup,RU,65.7,82.4667,43.9,64,100,14.81,overcast clouds
271,Chiang Rai,TH,19.9167,99.9167,86.99,76,20,5.75,few clouds
272,Cherskiy,RU,68.75,161.3,45.55,54,3,4.81,clear sky
273,Prince Rupert,CA,54.3161,-130.3201,55.09,94,100,6.91,fog
274,Skelleftea,SE,64.7507,20.9528,43.16,100,0,4.61,clear sky
275,Chodavaram,IN,17.8333,82.95,87.64,60,98,2.46,overcast clouds
276,Egvekinot,RU,66.3167,-179.1667,32.16,99,100,6.29,light snow
277,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.63,52,48,1.48,scattered clouds
278,Sheridan,US,44.8333,-106.9173,57.31,66,0,12.66,clear sky
279,Ayr,GB,55.4627,-4.6339,59.31,94,75,12.66,light rain
280,Gunjur,GM,13.2019,-16.7339,75.27,100,40,0.0,moderate rain
281,Leningradskiy,RU,69.3833,178.4167,36.3,98,100,19.84,light rain
